doc,subjectType,subjectValue,relation,objectType,objectValue
111,Document,111,MENTIONS,Entity,f30a483e-276e-4e34-804a-90ce8e10b5c5
111,Entity,f30a483e-276e-4e34-804a-90ce8e10b5c5,HAS_STRING,Label,Donald Trump
111,Entity,f30a483e-276e-4e34-804a-90ce8e10b5c5,IS_A,EntityType,PERSON
111,Entity,f30a483e-276e-4e34-804a-90ce8e10b5c5,LINKS_TO,URI,Donald_Trump
111,Document,111,MENTIONS,Entity,a81ddb5c-dba4-41c3-9ac1-5919fe4eb905
111,Entity,a81ddb5c-dba4-41c3-9ac1-5919fe4eb905,HAS_STRING,Label,United States
111,Entity,a81ddb5c-dba4-41c3-9ac1-5919fe4eb905,IS_A,EntityType,LOCATION
111,Entity,a81ddb5c-dba4-41c3-9ac1-5919fe4eb905,LINKS_TO,URI,United_States
111,Document,111,MENTIONS,Entity,495ec03f-20b6-4e09-af93-83ab40dc0c56
111,Entity,495ec03f-20b6-4e09-af93-83ab40dc0c56,HAS_STRING,Label,2016
111,Entity,495ec03f-20b6-4e09-af93-83ab40dc0c56,IS_A,EntityType,DATE
111,Entity,495ec03f-20b6-4e09-af93-83ab40dc0c56,LINKS_TO,URI,2016
111,Document,111,MENTIONS,Entity,121dd6a5-f6c7-4fa8-bd56-0067abe9520e
111,Entity,121dd6a5-f6c7-4fa8-bd56-0067abe9520e,HAS_STRING,Label,Melania Trump
111,Entity,121dd6a5-f6c7-4fa8-bd56-0067abe9520e,IS_A,EntityType,PERSON
111,Entity,121dd6a5-f6c7-4fa8-bd56-0067abe9520e,LINKS_TO,URI,Melania_Trump
111,Document,111,MENTIONS,Entity,ff61b39f-4aa0-4ffd-b1a6-c099207fabe4
111,Entity,ff61b39f-4aa0-4ffd-b1a6-c099207fabe4,HAS_STRING,Label,Ivanka Trump
111,Entity,ff61b39f-4aa0-4ffd-b1a6-c099207fabe4,IS_A,EntityType,PERSON
111,Entity,ff61b39f-4aa0-4ffd-b1a6-c099207fabe4,LINKS_TO,URI,Ivanka_Trump
111,Document,111,MENTIONS,Entity,0933aecb-08aa-4e01-bd30-1a6f3effb8a1
111,Entity,0933aecb-08aa-4e01-bd30-1a6f3effb8a1,HAS_STRING,Label,He
111,Entity,0933aecb-08aa-4e01-bd30-1a6f3effb8a1,IS_A,EntityType,PERSON
111,Entity,0933aecb-08aa-4e01-bd30-1a6f3effb8a1,LINKS_TO,URI,""
111,Entity,f30a483e-276e-4e34-804a-90ce8e10b5c5,SPOUSE,Entity,121dd6a5-f6c7-4fa8-bd56-0067abe9520e
111,Entity,121dd6a5-f6c7-4fa8-bd56-0067abe9520e,SPOUSE,Entity,f30a483e-276e-4e34-804a-90ce8e10b5c5
111,Document,111,MENTIONS,Entity,814c42f4-d5c3-438b-a514-2352a83c7c27
111,Entity,814c42f4-d5c3-438b-a514-2352a83c7c27,HAS_STRING,Label,She
111,Entity,814c42f4-d5c3-438b-a514-2352a83c7c27,IS_A,EntityType,PERSON
111,Entity,814c42f4-d5c3-438b-a514-2352a83c7c27,LINKS_TO,URI,""
